,model.backbone.freeze_at,model.anchor_generator.sizes,model.anchor_generator.aspect_ratios,solver.BASE_LR,model.roi_heads.batch_size_per_image,pruned,score
52,2,"[[64, 128, 256, 512]]","[0.25, 0.5, 1.0, 2.0]",0.0002816399732723367,128,True,14.880646176689027
53,1,"[[32, 64, 128, 256, 512]]","[0.25, 0.5, 1.0, 2.0]",0.0002739734114684858,128,True,54.82524776899872
54,1,"[[32, 64, 128, 256, 512]]","[0.25, 0.5, 1.0, 2.0]",0.00033526296563789567,256,True,52.80819820354182
55,0,"[[128, 256, 512]]","[0.25, 0.5, 1.0, 2.0]",0.00024905430793068916,256,True,55.46949330520881
56,0,"[[128, 256, 512]]","[0.5, 1.0, 2.0]",0.00011657092622899135,128,True,8.858270265976035
57,1,"[[64, 128, 256, 512]]","[0.25, 0.5, 1.0, 2.0]",0.00016523081422754898,256,True,9.359213180754828
58,0,"[[64, 128, 256, 512]]","[0.5, 1.0, 2.0]",0.0003242789734312978,512,False,65.94230141304197
59,2,"[[32, 64, 128, 256, 512]]","[0.5, 1.0, 2.0]",0.00025116474199957686,512,True,12.17451986417204
60,2,"[[128, 256, 512]]","[0.5, 1.0, 2.0]",0.00018863558054567033,128,True,9.274238771582235
61,2,"[[64, 128, 256, 512]]","[0.25, 0.5, 1.0, 2.0]",0.00038724583616200865,512,True,55.093410683902334
62,1,"[[64, 128, 256, 512]]","[0.25, 0.5, 1.0, 2.0]",0.00020083341734425514,128,True,11.165616768762462
63,2,"[[32, 64, 128, 256, 512]]","[0.25, 0.5, 1.0, 2.0]",0.00031868701409077917,512,True,54.12082107583277
64,2,"[[64, 128, 256, 512]]","[0.5, 1.0, 2.0]",0.00012118111274939477,128,True,3.7710105110173067
65,2,"[[64, 128, 256, 512]]","[0.5, 1.0, 2.0]",0.00020737669907367766,256,True,11.027584587016367
66,1,"[[128, 256, 512]]","[0.5, 1.0, 2.0]",0.0001739655221882422,512,True,5.068913187591048
67,0,"[[32, 64, 128, 256, 512]]","[0.25, 0.5, 1.0, 2.0]",0.00014296902187626735,128,True,13.48079553103497
68,1,"[[32, 64, 128, 256, 512]]","[0.5, 1.0, 2.0]",0.00012910231156485876,256,True,8.839280820316825
69,1,"[[64, 128, 256, 512]]","[0.5, 1.0, 2.0]",0.00036659951369129654,256,True,65.8069067936552
70,2,"[[32, 64, 128, 256, 512]]","[0.5, 1.0, 2.0]",0.00016997914515174117,128,True,7.40258192317481
71,1,"[[128, 256, 512]]","[0.25, 0.5, 1.0, 2.0]",0.00017334804528222646,128,True,11.174751111787828
72,0,"[[128, 256, 512]]","[0.5, 1.0, 2.0]",0.0001274767762094893,128,True,10.254949782400068
73,2,"[[64, 128, 256, 512]]","[0.25, 0.5, 1.0, 2.0]",0.0002760259286382473,128,True,10.500312446938485
74,1,"[[32, 64, 128, 256, 512]]","[0.25, 0.5, 1.0, 2.0]",0.000335720525615594,128,True,10.02744678428894
75,2,"[[64, 128, 256, 512]]","[0.5, 1.0, 2.0]",0.00021743943199588664,128,True,12.246649603004752
76,2,"[[32, 64, 128, 256, 512]]","[0.5, 1.0, 2.0]",0.00034997480512788013,256,True,53.075251778548306
77,2,"[[64, 128, 256, 512]]","[0.5, 1.0, 2.0]",0.0002546048846924159,128,True,15.220164665735494
78,2,"[[128, 256, 512]]","[0.25, 0.5, 1.0, 2.0]",0.00026494016774173296,128,True,55.68553429535952
79,2,"[[32, 64, 128, 256, 512]]","[0.5, 1.0, 2.0]",0.00020294356606303173,512,True,10.120246607617831
80,1,"[[32, 64, 128, 256, 512]]","[0.5, 1.0, 2.0]",0.00018614160597942456,512,True,7.1021142140895765
